page	route	sequence	name	date	location	miles	chains	restriction
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Network Rail 1	19	20	
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	London North Western	19	20	X
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	(Appendix Boundary)	19	20	X
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		121	40	*
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Armitage Jn (former site of)	121	41	
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	OH NS	122	10	
0001	NW1001	001	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		123	74	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	RUGELEY TRENT VALLEY	124	22	
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	Rugeley Engineers Siding GF	124	29	
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	Rugeley North Jn	124	39	
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08		126	59	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08		126	67	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	Colwich Jn	127	05	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08		127	11	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08		127	13	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08		128	02	*
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	Shugborough Tunnel	128	46	
0002	NW1001	002	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC2 LNW North	01/12/08	(710ml 777yd) to	129	01	
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Milford & Brooton HABD	129	29	
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Milford Junction	129	31	
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		129	52	
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Whitehouse Junction	130	47	
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		130	56	*
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		131	50	*
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		132	35	*
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		132	79	*
0003	NW1001	003	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	TrentValley Jn No.1	133	06	*
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Stafford No.4 SB (SD 4)	133	32	
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		133	34	*
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	STAFFORD	133	43	
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		133	51	*
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08	Stafford No.5 SB (SD 5)	133	57	
0004	NW1001	004	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	01/12/08		133	60	*
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06		134	05	*
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06	OHNS	134	23	
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06	Great Bridgeford HABD	136	60	
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06		138	31	*
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06	Norton Bridge South Jn	138	40	
0005	NW1001	005	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06		138	54	
